loan_id,reporting_month,month_index,loan_age_months,remaining_term_months,current_balance,current_status,days_past_due,modification_flag,prepayment_flag,default_flag,next_state,next_3m_delinquency_flag,next_12m_default_flag,next_12m_prepayment_flag
LC_1006868,2017-06,0,0,36,4906.82,CURRENT,0,0,0,0,CURRENT,0,1,0
LC_1006868,2017-07,1,1,35,4811.62,CURRENT,0,0,0,0,CURRENT,0,1,0
LC_1006868,2017-08,2,2,34,4714.36,CURRENT,0,0,0,0,CURRENT,0,1,0
LC_1006868,2017-09,3,3,33,4615.0,CURRENT,0,0,0,0,CURRENT,1,1,0
LC_1006868,2017-10,4,4,32,4513.48,CURRENT,0,0,0,0,CURRENT,1,1,0
LC_1006868,2017-11,5,5,31,4409.78,CURRENT,0,0,0,0,DELINQUENT_30,1,1,0
LC_1006868,2017-12,6,6,30,4409.78,DELINQUENT_30,30,0,0,0,DELINQUENT_60,1,1,0
LC_1006868,2018-01,7,7,29,4409.78,DELINQUENT_60,60,0,0,0,DELINQUENT_90,1,1,0
LC_1006868,2018-02,8,8,28,4409.78,DELINQUENT_90,90,1,0,0,DELINQUENT_90,1,1,0
LC_1006868,2018-03,9,9,27,4409.78,DELINQUENT_90,90,1,0,0,DEFAULT,1,1,0
LC_1006868,2018-04,10,10,26,0.0,DEFAULT,120,1,0,1,DEFAULT,0,0,0
LC_1024016,2015-05,0,0,36,14720.19,CURRENT,0,0,0,0,CURRENT,0,0,0
LC_1024016,2015-06,1,1,35,14434.34,CURRENT,0,0,0,0,CURRENT,0,0,0
LC_1024016,2015-07,2,2,34,14142.32,CURRENT,0,0,0,0,CURRENT,0,0,0
LC_1024016,2015-08,3,3,33,13844.0,CURRENT,0,0,0,0,CURRENT,0,0,0
LC_1024016,2015-09,4,4,32,13539.24,CURRENT,0,0,0,0,CURRENT,0,0,0
LC_1024016,2015-10,5,5,31,13227.9,CURRENT,0,0,0,0,CURRENT,0,0,0
LC_1024016,2015-11,6,6,30,12909.84,CURRENT,0,0,0,0,CURRENT,0,0,0
LC_1024016,2015-12,7,7,29,12584.92,CURRENT,0,0,0,0,CURRENT,0,0,0
LC_1024016,2016-01,8,8,28,12252.99,CURRENT,0,0,0,0,CURRENT,0,0,0
LC_1024016,2016-02,9,9,27,11913.89,CURRENT,0,0,0,0,CURRENT,0,0,0
LC_1024016,2016-03,10,10,26,11567.47,CURRENT,0,0,0,0,CURRENT,0,0,0
LC_1024016,2016-04,11,11,25,11213.57,CURRENT,0,0,0,0,CURRENT,0,0,0
LC_1024016,2016-05,12,12,24,10852.04,CURRENT,0,0,0,0,CURRENT,0,0,0
LC_1024016,2016-06,13,13,23,10482.7,CURRENT,0,0,0,0,CURRENT,1,0,0
LC_1024016,2016-07,14,14,22,10105.39,CURRENT,0,0,0,0,CURRENT,1,0,0
LC_1024016,2016-08,15,15,21,9719.94,CURRENT,0,0,0,0,DELINQUENT_30,1,0,0
LC_1024016,2016-09,16,16,20,9719.94,DELINQUENT_30,30,0,0,0,DELINQUENT_60,1,0,0
LC_1024016,2016-10,17,17,19,9719.94,DELINQUENT_60,60,0,0,0,CURRENT,0,0,0
LC_1024016,2016-11,18,18,18,9719.94,CURRENT,0,0,0,0,CURRENT,0,0,0
LC_1024016,2016-12,19,19,17,9326.17,CURRENT,0,0,0,0,CURRENT,0,0,0
LC_1024016,2017-01,20,20,16,8923.9,CURRENT,0,0,0,0,CURRENT,0,0,0
LC_1024016,2017-02,21,21,15,8512.95,CURRENT,0,0,0,0,CURRENT,0,0,0
LC_1024016,2017-03,22,22,14,8093.13,CURRENT,0,0,0,0,CURRENT,0,0,0
LC_1024016,2017-04,23,23,13,7664.24,CURRENT,0,0,0,0,CURRENT,0,0,0
LC_1009668,2017-06,0,0,36,7336.93,CURRENT,0,0,0,0,CURRENT,0,0,0
LC_1009668,2017-07,1,1,35,7171.65,CURRENT,0,0,0,0,CURRENT,0,0,0
LC_1009668,2017-08,2,2,34,7004.14,CURRENT,0,0,0,0,CURRENT,0,0,0
LC_1009668,2017-09,3,3,33,6834.36,CURRENT,0,0,0,0,CURRENT,0,0,0
LC_1009668,2017-10,4,4,32,6662.28,CURRENT,0,0,0,0,CURRENT,0,0,0
LC_1009668,2017-11,5,5,31,6487.87,CURRENT,0,0,0,0,CURRENT,0,0,0
LC_1009668,2017-12,6,6,30,6311.11,CURRENT,0,0,0,0,CURRENT,0,0,0
LC_1009668,2018-01,7,7,29,6131.95,CURRENT,0,0,0,0,CURRENT,0,0,0
LC_1009668,2018-02,8,8,28,5950.36,CURRENT,0,0,0,0,CURRENT,0,0,0
LC_1009668,2018-03,9,9,27,5766.32,CURRENT,0,0,0,0,CURRENT,0,0,0
LC_1009668,2018-04,10,10,26,5579.79,CURRENT,0,0,0,0,CURRENT,0,0,0
LC_1009668,2018-05,11,11,25,5390.73,CURRENT,0,0,0,0,CURRENT,0,0,0
LC_1009668,2018-06,12,12,24,5199.12,CURRENT,0,0,0,0,CURRENT,0,0,0
LC_1009668,2018-07,13,13,23,5004.91,CURRENT,0,0,0,0,CURRENT,0,0,0
LC_1009668,2018-08,14,14,22,4808.07,CURRENT,0,0,0,0,CURRENT,0,0,0
LC_1009668,2018-09,15,15,21,4608.57,CURRENT,0,0,0,0,CURRENT,0,0,0
LC_1009668,2018-10,16,16,20,4406.37,CURRENT,0,0,0,0,CURRENT,0,0,0
LC_1009668,2018-11,17,17,19,4201.43,CURRENT,0,0,0,0,CURRENT,0,0,0
LC_1009668,2018-12,18,18,18,3993.72,CURRENT,0,0,0,0,CURRENT,0,0,0
LC_1009668,2019-01,19,19,17,3783.2,CURRENT,0,0,0,0,CURRENT,0,0,0
LC_1009668,2019-02,20,20,16,3569.83,CURRENT,0,0,0,0,CURRENT,0,0,0
LC_1009668,2019-03,21,21,15,3353.57,CURRENT,0,0,0,0,CURRENT,0,0,0
LC_1009668,2019-04,22,22,14,3134.38,CURRENT,0,0,0,0,CURRENT,0,0,0
LC_1009668,2019-05,23,23,13,2912.23,CURRENT,0,0,0,0,CURRENT,0,0,0
LC_1013640,2017-09,0,0,60,17850.11,CURRENT,0,0,0,0,CURRENT,0,0,0
LC_1013640,2017-10,1,1,59,17697.0,CURRENT,0,0,0,0,CURRENT,0,0,0
