loan_id,origination_month,original_balance,funded_balance,interest_rate,original_term,installment,credit_score,credit_score_band,dti,dti_band,annual_income,employment_length,home_ownership,loan_purpose,state,revolving_utilization,delinquencies_2yrs,inquiries_6m,total_accounts,servicer_name,document_status
LC_1000000,2016-10,10000.0,10000.0,12.38,36,333.96,782.0,Prime,11.12,<20%,289200.0,6,MORTGAGE,debt_consolidation,TX,62.1,0,1,7,Intain_Servicing_Alpha,VERIFIED
LC_1000001,2018-10,15000.0,15000.0,21.91,60,413.52,747.0,Prime,24.33,20-35%,49700.0,10,RENT,credit_card,NY,51.5,0,1,3,Summit_Asset_Management,SOURCE_VERIFIED
LC_1000002,2018-01,25000.0,25000.0,25.75,36,1003.94,642.0,Subprime,7.54,<20%,106600.0,0,MORTGAGE,debt_consolidation,NY,48.2,0,0,35,Beacon_Credit_Ops,SOURCE_VERIFIED
LC_1000003,2017-03,25000.0,25000.0,22.48,36,960.98,692.0,Near Prime,14.55,<20%,130400.0,4,RENT,debt_consolidation,NC,78.5,0,1,7,Apex_Loan_Servicing,VERIFIED
LC_1000004,2015-12,15000.0,15000.0,21.19,36,566.59,702.0,Near Prime,5.47,<20%,61500.0,3,RENT,debt_consolidation,TX,54.3,0,0,23,Intain_Servicing_Alpha,VERIFIED
LC_1000005,2015-04,25000.0,25000.0,19.89,60,660.82,737.0,Near Prime,8.67,<20%,59000.0,3,RENT,other,OH,8.7,4,1,7,Intain_Servicing_Alpha,VERIFIED
LC_1000006,2015-11,40000.0,40000.0,18.14,36,1448.91,722.0,Near Prime,26.42,20-35%,236700.0,1,MORTGAGE,debt_consolidation,FL,61.9,0,0,46,Intain_Servicing_Alpha,SOURCE_VERIFIED
LC_1000007,2018-07,20000.0,20000.0,18.16,36,724.65,742.0,Prime,37.03,35-50%,210300.0,10,MORTGAGE,medical,NY,81.9,0,3,18,Summit_Asset_Management,VERIFIED
LC_1000008,2017-09,20000.0,20000.0,17.67,36,719.74,717.0,Near Prime,5.26,<20%,153500.0,9,MORTGAGE,debt_consolidation,CA,1.1,0,1,42,Apex_Loan_Servicing,UNVERIFIED
LC_1000009,2017-12,30000.0,30000.0,22.02,36,1146.02,712.0,Near Prime,26.26,20-35%,44400.0,9,MORTGAGE,credit_card,PA,53.4,0,4,36,Beacon_Credit_Ops,UNVERIFIED
LC_1000010,2015-05,12000.0,12000.0,18.33,36,435.82,727.0,Near Prime,6.18,<20%,39100.0,3,RENT,home_improvement,VA,80.6,3,0,8,Intain_Servicing_Alpha,VERIFIED
LC_1000011,2018-12,5000.0,5000.0,26.89,60,152.35,682.0,Near Prime,11.48,<20%,27600.0,2,MORTGAGE,debt_consolidation,AZ,79.2,0,1,17,Summit_Asset_Management,VERIFIED
LC_1000012,2018-01,40000.0,40000.0,23.18,60,1131.76,717.0,Near Prime,9.31,<20%,35800.0,6,MORTGAGE,other,CA,55.8,2,0,32,Beacon_Credit_Ops,VERIFIED
LC_1000013,2016-02,15000.0,15000.0,16.25,60,366.77,762.0,Prime,20.2,20-35%,25600.0,3,RENT,credit_card,TX,25.7,1,0,17,Intain_Servicing_Alpha,SOURCE_VERIFIED
LC_1000014,2015-10,25000.0,25000.0,30.99,60,824.1,642.0,Subprime,9.04,<20%,90200.0,0,RENT,debt_consolidation,AZ,31.0,0,1,16,Intain_Servicing_Alpha,SOURCE_VERIFIED
