update_id,loan_id,servicer_name,reported_status,reported_balance,reported_dpd,document_status,last_updated_at,source_system
UPD_1000000,LC_1000000,Intain_Servicing_Alpha,CURRENT,3751.27,0,VERIFIED,2018-09-27 23:00:00,SUB_SERVICER_TITAN
UPD_1000001,LC_1000003,Apex_Loan_Servicing,DEFAULT,0.0,120,VERIFIED,2018-05-27 19:00:00,SERVICER_CORE_B
UPD_1000002,LC_1000004,Intain_Servicing_Alpha,CURRENT,6973.7,0,VERIFIED,2017-11-27 02:00:00,SUB_SERVICER_TITAN
UPD_1000003,LC_1000006,Intain_Servicing_Alpha,PREPAID,0.0,0,SOURCE_VERIFIED,2016-07-29 14:00:00,SUB_SERVICER_TITAN
UPD_1000004,LC_1000017,Apex_Loan_Servicing,DEFAULT,0.0,120,SOURCE_VERIFIED,2018-06-27 17:00:00,TAPE_EXTRACT_EAST
UPD_1000005,LC_1000019,Intain_Servicing_Alpha,CURRENT,3892.41,0,UNVERIFIED,2018-01-26 18:00:00,TAPE_EXTRACT_EAST
UPD_1000006,LC_1000029,Intain_Servicing_Alpha,DEFAULT,0.0,120,SOURCE_VERIFIED,2016-02-27 10:00:00,SUB_SERVICER_TITAN
UPD_1000007,LC_1000030,Apex_Loan_Servicing,DEFAULT,0.0,120,VERIFIED,2018-11-26 15:00:00,SUB_SERVICER_TITAN
UPD_1000008,LC_1000031,Intain_Servicing_Alpha,DEFAULT,0.0,120,SOURCE_VERIFIED,2016-05-28 11:00:00,LEGACY_MAINFRAME_4
UPD_1000009,LC_1000034,Summit_Asset_Management,DEFAULT,0.0,120,SOURCE_VERIFIED,2020-05-26 23:00:00,SUB_SERVICER_TITAN
UPD_1000010,LC_1000035,Beacon_Credit_Ops,DEFAULT,500.0,120,SOURCE_VERIFIED,2018-10-28 05:00:00,LEGACY_MAINFRAME_4
UPD_1000011,LC_1000038,Beacon_Credit_Ops,DEFAULT,0.0,120,VERIFIED,2017-10-28 06:00:00,LEGACY_MAINFRAME_4
UPD_1000012,LC_1000041,Apex_Loan_Servicing,CURRENT,4016.26,0,SOURCE_VERIFIED,2019-10-28 08:00:00,LEGACY_MAINFRAME_4
UPD_1000013,LC_1000042,Intain_Servicing_Alpha,PREPAID,0.0,0,SOURCE_VERIFIED,2017-01-27 20:00:00,LEGACY_MAINFRAME_4
UPD_1000014,LC_1000044,Intain_Servicing_Alpha,DEFAULT,0.0,120,SOURCE_VERIFIED,2018-03-27 02:00:00,TAPE_EXTRACT_EAST
UPD_1000015,LC_1000046,Intain_Servicing_Alpha,DEFAULT,0.0,120,UNVERIFIED,2017-10-28 00:00:00,LEGACY_MAINFRAME_4
UPD_1000016,LC_1000047,Apex_Loan_Servicing,CURRENT,7758.77,0,VERIFIED,2019-11-27 17:00:00,SERVICER_CORE_B
UPD_1000017,LC_1000049,Intain_Servicing_Alpha,PREPAID,0.0,0,UNVERIFIED,2015-04-27 14:00:00,TAPE_EXTRACT_EAST
UPD_1000018,LC_1000050,Summit_Asset_Management,PREPAID,0.0,0,SOURCE_VERIFIED,2019-01-26 17:00:00,LEGACY_MAINFRAME_4
UPD_1000019,LC_1000052,Summit_Asset_Management,PREPAID,0.0,0,UNVERIFIED,2020-07-27 13:00:00,SUB_SERVICER_TITAN
UPD_1000020,LC_1000054,Apex_Loan_Servicing,CURRENT,3829.08,0,VERIFIED,2019-10-28 06:00:00,LEGACY_MAINFRAME_4
UPD_1000021,LC_1000057,Intain_Servicing_Alpha,DEFAULT,0.0,120,UNVERIFIED,2015-12-27 03:00:00,SUB_SERVICER_TITAN
UPD_1000022,LC_1000059,Intain_Servicing_Alpha,CURRENT,5943.73,0,SOURCE_VERIFIED,2018-05-26 23:00:00,SUB_SERVICER_TITAN
UPD_1000023,LC_1000062,Beacon_Credit_Ops,PREPAID,0.0,0,UNVERIFIED,2020-01-28 06:00:00,LEGACY_MAINFRAME_4
